h,k,l,|G|,2theta,d,I
-7,-4,-2,8.15500890746159,177.56137103207942,0.09447806476875413,2.0689130297579e-26
-7,-4,-1,7.975756052964273,155.8079832888551,0.09877252225824296,4.2093718074020985e-28
-7,-4,0,7.915103035438158,152.03141164134075,0.10029209952375438,5.552347190196035e-27
-7,-4,1,7.975756052964273,155.8079832888551,0.09877252225824296,2.6795713331230967e-28
-7,-4,2,8.15500890746159,177.56137103207942,0.09447806476875413,3.554800870342382e-26
-7,-3,-3,8.035951292236042,160.24552263982693,0.09729830550811992,162.33095897375142
-7,-3,-2,7.730289153532403,142.77705141987894,0.10514494304909733,8.000594840445037e-28
-7,-3,-1,7.540947203955154,135.18372448287252,0.1104912960854921,86.25899960055352
-7,-3,0,7.4767677627464915,132.87476500885973,0.11239631843179371,1.033036335765833e-28
-7,-3,1,7.540947203955154,135.18372448287252,0.1104912960854921,86.25899960055379
-7,-3,2,7.730289153532403,142.77705141987894,0.10514494304909733,3.636896293900844e-29
-7,-3,3,8.035951292236042,160.24552263982693,0.09729830550811992,162.33095897375165
-7,-2,-4,8.15500890746159,177.56137103207942,0.09447806476875413,2.0689130297579e-26
-7,-2,-3,7.730289153532403,142.77705141987894,0.10514494304909733,1.0658667395918149e-27
-7,-2,-2,7.412032624270572,130.64918634355948,0.1143681836674392,3.386611259001553e-27
-7,-2,-1,7.214342794660484,124.36817718754419,0.1207219716489636,1.2093401167282352e-28
-7,-2,0,7.147231170465648,122.38028624968602,0.12299974469894405,4.5846728744242005e-28
-7,-2,1,7.214342794660484,124.36817718754419,0.1207219716489636,7.789105002997859e-29
-7,-2,2,7.412032624270572,130.64918634355948,0.1143681836674392,2.9766481236874507e-27
-7,-2,3,7.730289153532403,142.77705141987894,0.10514494304909733,1.564574098040072e-29
-7,-2,4,8.15500890746159,177.56137103207942,0.09447806476875413,9.312552348811899e-27
-7,-1,-4,7.975756052964273,155.8079832888551,0.09877252225824296,4.2093718074020985e-28
-7,-1,-3,7.540947203955154,135.18372448287252,0.1104912960854921,86.25899960055352
-7,-1,-2,7.214342794660484,124.36817718754419,0.1207219716489636,1.2093401167282357e-28
