2theta, I
165.95891167286584,187.9309150719572
148.67504338055255,11.685846579045947
128.4955170721603,57.642682724824056
120.43522088984767,16.41248959772519
105.94919100847936,33.62338933809689
99.14278056340999,35.70235759086542
92.46480862733866,47.569302266652464
128.49551707216034,11.531475872280176
120.4352208898477,16.447009381489742
112.99646559692042,11.066710148577144
85.82036157982836,21.154537587844036
72.26212003011906,56.97024588957261
65.1305350321281,72.87660451186103
57.55825055359985,24.076135722523823
49.282388007561146,52.61569967941034
39.80560125597135,137.24682911807383
27.85774640642678,226.76609528476723
