2theta, I
165.95891167286584,20748.95204320526
148.67504338055255,58490.75162173993
160.24552263982693,4573.247914370617
135.18372448287252,7242.299078560508
118.52821630143552,1471.072838635874
128.4955170721603,320879.8043156184
120.43522088984767,2076.7204850099397
105.94919100847936,4763.211835298752
99.14278056340999,257820.10500168876
92.46480862733866,7828.094996359979
104.22985110733639,1606.4073819111236
90.80407962567679,2040.986438113385
118.52821630143549,2942.1456772717456
90.80407962567678,4081.972876226769
77.42333957947271,6169.2753535180655
128.49551707216034,64175.96086312371
120.4352208898477,2076.72048500994
112.99646559692042,69594.84005375484
85.82036157982836,177654.7846215377
72.26212003011906,555314.8609249372
65.1305350321281,17287.737557656914
57.55825055359985,260861.48553416933
104.22985110733637,803.2036909555609
63.286804238661816,8726.605049434622
47.05438953469098,22791.83873889401
49.282388007561146,13928.747497212546
39.80560125597135,1433154.6168344358
27.85774640642678,49572.45738043249
24.06508266465309,46100.5628682901
