2theta, I
165.95891167286584,12027.319598034672
148.67504338055255,747.4698684159816
160.24552263982693,26432.580898053035
135.18372448287252,42158.91029817191
118.52821630143552,8407.466666551187
128.4955170721603,3680.202651371434
120.43522088984767,1046.0589951944273
105.94919100847936,2120.568819024376
99.14278056340999,2240.7440220543417
92.46480862733866,2932.0887091500445
104.22985110733639,8668.213680259012
90.80407962567679,9744.792712455914
118.52821630143549,16847.700735506347
90.80407962567678,19588.683251724022
77.42333957947271,24241.062375023164
128.49551707216034,736.0733595178217
120.4352208898477,1046.2014332315564
112.99646559692042,703.0364834663051
85.82036157982836,1290.0858640679742
72.26212003011906,3247.053161605788
65.1305350321281,3753.8059601401883
57.55825055359985,1168.709408029705
104.22985110733637,4341.235587924886
63.286804238661816,26000.852984643258
47.05438953469098,50156.9805283377
49.282388007561146,2032.5835225890203
39.80560125597135,4540.873442589599
27.85774640642678,4827.258314137801
24.06508266465309,91122.64889122068
