2theta, I
165.95891167286584,12022.55477212002
148.67504338055255,747.2027575968908
160.24552263982693,26427.60687754599
135.18372448287252,42128.05300317986
118.52821630143552,8399.820939323592
128.4955170721603,3678.314969868202
120.43522088984767,1045.7598753164564
105.94919100847936,2120.114384548359
99.14278056340999,2238.2969582166347
92.46480862733866,2931.9927464841894
104.22985110733639,8621.876819589035
90.80407962567679,9633.307657292202
118.52821630143549,16799.641878647177
90.80407962567678,19266.61531458441
77.42333957947271,23368.301237627333
128.49551707216034,735.6629939736399
120.4352208898477,1045.759875316457
112.99646559692042,702.5073567637857
85.82036157982836,1287.985712367232
72.26212003011906,3238.706548363353
65.1305350321281,3746.9740027770013
57.55825055359985,1163.7469898747738
104.22985110733637,4310.938409794518
63.286804238661816,23737.155802482455
47.05438953469098,39586.211754293894
49.282388007561146,2007.0252929139554
39.80560125597135,4512.040551728984
27.85774640642678,4397.394107349883
24.06508266465309,47164.4695655596
