2theta, I
165.95891167286584,147.24291716840995
148.67504338055255,11.675490597176122
128.4955170721603,57.478079543840344
120.43522088984767,12.864750514300038
105.94919100847936,26.418748320968806
99.14278056340999,34.98530527267663
92.46480862733866,37.652021051642116
128.49551707216034,11.49569257206633
120.4352208898477,12.893255122869135
112.99646559692042,10.978430506078139
85.82036157982836,20.14037568864427
72.26212003011906,50.70185327904597
65.1305350321281,61.72396854082464
57.55825055359985,18.279220891388157
49.282388007561146,49.26028959330103
39.80560125597135,71.73425863631853
27.85774640642678,251.19351493993287
