h,k,l,|G|,2theta,d,I
-4,-1,0,8.095698964634494,165.95891167286584,0.09586744807417698,3.899083848750949e-06
-4,0,-1,8.095698964634494,165.95891167286584,0.09586744807417698,3.899083848750949e-06
-4,0,0,7.853981633974482,148.67504338055255,0.10185916357881304,0
-4,0,1,8.095698964634494,165.95891167286584,0.09586744807417698,3.899083848750949e-06
-4,1,0,8.095698964634494,165.95891167286584,0.09586744807417698,3.899083848750949e-06
-3,-2,-2,8.095698964634494,165.95891167286584,0.09586744807417698,3.1192670790007594e-05
-3,-2,-1,7.3467270990868725,128.4955170721603,0.11641047266150062,3.997586952841438e-06
-3,-2,0,7.0794833744618595,120.43522088984767,0.12536512440469297,0.00019025473335568358
-3,-2,1,7.3467270990868725,128.4955170721603,0.11641047266150062,3.997586952841438e-06
-3,-2,2,8.095698964634494,165.95891167286584,0.09586744807417698,3.1192670790007594e-05
-3,-1,-2,7.3467270990868725,128.4955170721603,0.11641047266150062,3.997586952841438e-06
-3,-1,-1,6.512177547558944,105.94919100847936,0.1481587833873644,0.00034801381521260027
-3,-1,0,6.209117666122562,99.14278056340999,0.16297466172610084,4.970560992606166e-06
-3,-1,1,6.512177547558944,105.94919100847936,0.1481587833873644,0.00034801381521260027
-3,-1,2,7.3467270990868725,128.4955170721603,0.11641047266150062,3.997586952841438e-06
-3,0,-2,7.0794833744618595,120.43522088984767,0.12536512440469297,0.00019025473335568358
-3,0,-1,6.209117666122562,99.14278056340999,0.16297466172610084,4.970560992606166e-06
-3,0,0,5.890486225480862,92.46480862733866,0.1810829574734454,0
-3,0,1,6.209117666122562,99.14278056340999,0.16297466172610084,4.970560992606166e-06
-3,0,2,7.0794833744618595,120.43522088984767,0.12536512440469297,0.00019025473335568358
-3,1,-2,7.3467270990868725,128.4955170721603,0.11641047266150062,3.997586952841438e-06
-3,1,-1,6.512177547558944,105.94919100847936,0.1481587833873644,0.00034801381521260027
-3,1,0,6.209117666122562,99.14278056340999,0.16297466172610084,4.970560992606166e-06
-3,1,1,6.512177547558944,105.94919100847936,0.1481587833873644,0.00034801381521260027
-3,1,2,7.3467270990868725,128.4955170721603,0.11641047266150062,3.997586952841438e-06
-3,2,-2,8.095698964634494,165.95891167286584,0.09586744807417698,3.1192670790007594e-05
-3,2,-1,7.3467270990868725,128.4955170721603,0.11641047266150062,3.997586952841438e-06
-3,2,0,7.0794833744618595,120.43522088984767,0.12536512440469297,0.00019025473335568358
-3,2,1,7.3467270990868725,128.4955170721603,0.11641047266150062,3.997586952841438e-06
-3,2,2,8.095698964634494,165.95891167286584,0.09586744807417698,3.1192670790007594e-05
-2,-3,-2,8.095698964634494,165.95891167286584,0.09586744807417698,5.068809003376233e-05
-2,-3,-1,7.346727099086873,128.49551707216034,0.1164104726615006,7.995173905682878e-06
-2,-3,0,7.07948337446186,120.4352208898477,0.12536512440469297,0.0004280731500502881
