2theta, I
165.95891167286584,147.21113810558836
148.67504338055255,11.675043087451424
128.4955170721603,57.47367140419066
120.43522088984767,12.804890836304923
105.94919100847936,25.959910965608962
99.14278056340999,34.97338997213495
92.46480862733866,35.90102081532512
128.49551707216034,11.494734280838129
120.4352208898477,12.804890836304926
112.99646559692042,10.976677449434156
85.82036157982836,20.12477675573801
72.26212003011906,50.604789818177395
65.1305350321281,45.8801243043609
57.55825055359985,18.183546716793348
49.282388007561146,24.575182494632557
39.80560125597135,70.50063362076538
27.85774640642678,53.844245546126345
