2theta, I
165.95891167286584,12616.764008779142
148.67504338055255,50556.420422466
160.24552263982693,726.3991716317902
135.18372448287252,954.4754429207563
118.52821630143552,165.95416764076597
128.4955170721603,222471.51925585457
120.43522088984767,763.8942041271576
105.94919100847936,1448.9030225299032
99.14278056340999,132087.1161206057
92.46480862733866,2159.2201915167807
104.22985110733639,164.07518718145354
90.80407962567679,204.27833847819056
118.52821630143549,331.90833528153195
90.80407962567678,408.5566769563822
77.42333957947271,658.6849532311561
128.49551707216034,44494.30385117092
120.4352208898477,763.8942041271576
112.99646559692042,40084.90181188507
85.82036157982836,89246.6549472604
72.26212003011906,303249.83930508
65.1305350321281,5559.128454926307
57.55825055359985,167864.54043025323
104.22985110733637,82.03759359072676
63.286804238661816,1064.788371915432
47.05438953469098,3323.9610960452064
49.282388007561146,5529.965937060995
39.80560125597135,1138787.7441852486
27.85774640642678,25234.68755314454
24.06508266465309,8157.1160009437945
