2theta, I
165.95891167286584,0.6031776409502181
148.67504338055255,0.09539996615844287
160.24552263982693,0.1326469271318983
135.18372448287252,0.7354297205335893
118.52821630143552,0.6166994722815969
128.4955170721603,0.7513198087840347
120.43522088984767,0.36394569682838823
105.94919100847936,1.383667873230055
99.14278056340999,1.4774416791739071
92.46480862733866,4.218796082369441
104.22985110733639,1.3297139127417945
90.80407962567679,4.557886351903343
118.52821630143549,0.6413674511728606
90.80407962567678,4.825997313780007
77.42333957947271,18.83253858255237
128.49551707216034,0.22714319800447552
120.4352208898477,0.24654385914181143
112.99646559692042,0.26870467037472134
85.82036157982836,1.4858350332223615
72.26212003011906,6.725294402515282
65.1305350321281,27.70272270501528
57.55825055359985,4.477584987176978
104.22985110733637,0.35198309454929844
63.286804238661816,49.060772733578695
47.05438953469098,231.40065941372472
49.282388007561146,36.88959322171298
39.80560125597135,30.325056596542915
27.85774640642678,232.7483974221082
24.06508266465309,992.906723228455
