2theta, I
165.95891167286584,3669.7907065578743
148.67504338055255,746.9685292218387
160.24552263982693,7792.084590846157
135.18372448287252,12429.154935116594
118.52821630143552,2485.2648467128965
128.4955170721603,3681.382241209872
120.43522088984767,323.876703365151
105.94919100847936,666.2852664004027
99.14278056340999,2255.449233120327
92.46480862733866,955.9713646066053
104.22985110733639,2561.4031474924764
90.80407962567679,2907.9093959177258
118.52821630143549,4961.65967706298
90.80407962567678,5751.547923938845
77.42333957947271,7170.457525723104
128.49551707216034,737.4282789994433
120.4352208898477,322.11774926738747
112.99646559692042,704.9691462593509
85.82036157982836,1307.3794751160274
72.26212003011906,3332.2566575195438
65.1305350321281,1555.9695565122981
57.55825055359985,1228.2407640089539
104.22985110733637,1276.013991573944
63.286804238661816,7732.074868909473
47.05438953469098,15135.797956232349
49.282388007561146,1163.812512416749
39.80560125597135,4956.3353906261245
27.85774640642678,4826.080048608393
24.06508266465309,28778.791838664765
