2theta, I
165.95891167286584,3660.753694836975
148.67504338055255,745.5392146156321
160.24552263982693,7790.097229654612
135.18372448287252,12418.136477943854
118.52821630143552,2476.0252463349684
128.4955170721603,3670.12571335279
120.43522088984767,318.4239456620839
105.94919100847936,645.554685657201
99.14278056340999,2233.313701454055
92.46480862733866,892.7639327389423
104.22985110733639,2541.480923260225
90.80407962567679,2839.62159877758
118.52821630143549,4952.050492669937
90.80407962567678,5679.243197555161
77.42333957947271,6888.302053851309
128.49551707216034,734.0251426705579
120.4352208898477,318.4239456620839
112.99646559692042,700.9433218739982
85.82036157982836,1285.1181913764628
72.26212003011906,3231.496018835579
65.1305350321281,1140.9179816699825
57.55825055359985,1161.1560691142652
104.22985110733637,1270.7404616301123
63.286804238661816,6997.029754287354
47.05438953469098,11668.874898455471
49.282388007561146,611.1201317796481
39.80560125597135,4501.995121202037
27.85774640642678,1338.9647234933566
24.06508266465309,13902.727000717074
