2theta, I
165.95891167286584,9421.512838757655
148.67504338055255,747.2027575968905
160.24552263982693,26900.151919784035
135.18372448287252,42881.33356611678
118.52821630143552,8550.015913804506
128.4955170721603,3678.3149698682014
120.43522088984767,819.513013523515
105.94919100847936,1661.4343017989736
99.14278056340999,2238.296958216634
92.46480862733866,2297.6653321808076
104.22985110733639,8776.042316478779
90.80407962567679,9805.558281228747
118.52821630143549,17100.031827609007
90.80407962567678,19611.116562457504
77.42333957947271,23786.14364562637
128.49551707216034,735.6629939736396
120.4352208898477,819.5130135235153
112.99646559692042,702.5073567637854
85.82036157982836,1287.9857123672316
72.26212003011906,3238.7065483633482
65.1305350321281,2936.3279554790975
57.55825055359985,1163.7469898747734
104.22985110733637,4388.02115823939
63.286804238661816,24161.593601306566
47.05438953469098,40294.042326776405
49.282388007561146,1572.8116796564836
39.80560125597135,4512.040551728983
27.85774640642678,3446.031714952086
24.06508266465309,48007.80495972755
