2theta, I
165.95891167286584,15138.812983881558
148.67504338055255,58490.75162173993
160.24552263982693,5611.446845298749
135.18372448287252,9189.332348360804
118.52821630143552,1939.5437398058218
128.4955170721603,320879.8043156185
120.43522088984767,1388.3384434445286
105.94919100847936,3043.384630259385
99.14278056340999,257820.10500168876
92.46480862733866,4827.187120685994
104.22985110733639,2200.724342398959
90.80407962567679,2881.3577367542725
118.52821630143549,3879.08747961164
90.80407962567678,5762.7154735085405
77.42333957947271,8819.589331182327
128.49551707216034,64175.96086312375
120.4352208898477,1388.338443444529
112.99646559692042,69594.84005375484
85.82036157982836,177654.78462153763
72.26212003011906,555314.8609249372
65.1305350321281,10614.624218540306
57.55825055359985,260861.48553416933
104.22985110733637,1100.362171199478
63.286804238661816,12364.830282206593
47.05438953469098,31491.189843518874
49.282388007561146,8845.171156029055
39.80560125597135,1433154.6168344358
27.85774640642678,32806.95721443903
24.06508266465309,61778.81119633302
