2theta, I
165.95891167286584,2125.7126626028867
148.67504338055255,11.6759128154806
128.4955170721603,57.47541927982683
120.43522088984767,184.9279270976371
105.94919100847936,375.0703901384407
99.14278056340999,34.97741535576725
92.46480862733866,519.223895330551
128.49551707216034,11.495114253802525
120.4352208898477,184.94126827064005
112.99646559692042,10.976678352794904
85.82036157982836,20.141486389472515
72.26212003011906,50.78840142036921
65.1305350321281,669.9683644293523
57.55825055359985,18.44104040661584
49.282388007561146,366.5467778168936
39.80560125597135,74.99880891615547
27.85774640642678,871.6897565368399
