2theta, I
165.95891167286584,2125.6976438196734
148.67504338055255,11.675043087451424
128.4955170721603,57.47367140419066
120.43522088984767,184.89991063433118
105.94919100847936,374.85561407577086
99.14278056340999,34.97338997213495
92.46480862733866,518.4031340286238
128.49551707216034,11.494734280838129
120.4352208898477,184.89991063433118
112.99646559692042,10.976677449434156
85.82036157982836,20.12477675573801
72.26212003011906,50.604789818177395
65.1305350321281,662.499274083333
57.55825055359985,18.183546716793348
49.282388007561146,354.860428344829
39.80560125597135,70.50063362076538
27.85774640642678,777.4994974127144
